Month,Cash_Outflow,Cash_Inflow,Net_Cash_Flow
2016-01,-63106877.39,4601126426.09,4538019548.7
2016-02,-67117343.93,4647140729.18,4580023385.25
2016-03,-76461573.23,5267767122.17,5191305548.940001
2016-04,-81841166.16,5629421574.67,5547580408.51
2016-05,-68064924.64,4613607698.74,4545542774.099999
2016-06,-77215787.77,4823191111.85,4745975324.08
2016-07,-76167790.61,4919447645.35,4843279854.740001
2016-08,-677192706.34,52080904644.5,51403711938.16
2016-09,-245055347.79,19138712772.19,18893657424.399998
2016-10,-79669561.72,5568564082.1,5488894520.38
2016-11,-73529626.84,5089648499.85,5016118873.01
2016-12,-65373025.15,4355420493.05,4290047467.9
